trip,price,tripTime,tripTimeUnc,walkTimeStart,walkTimeEnd,taxiWaitTime,busWaitTime,tripTimeRange,numLegs,respID,qID,altID,obsID
Car|Bus,25,50,0.2,10,0,0,0,40 - 60 minutes,2,623,1,3,3733
Uber/Lyft|Bus|Uber/Lyft,20,40,0.2,10,10,0,10,32 - 48 minutes,3,623,2,1,3734
Bus|Bus|Taxi,25,50,0.2,5,5,0,0,40 - 60 minutes,3,623,2,2,3734
Taxi|Bus,20,50,0.05,10,0,5,0,48 - 52 minutes,2,623,2,3,3734
Taxi,25,60,0.1,0,0,10,0,54 - 66 minutes,1,623,3,1,3735
Uber/Lyft|Bus|Bus,20,50,0.1,0,5,0,5,45 - 55 minutes,3,623,3,2,3735
Car|Bus|Taxi,25,30,0.1,0,0,5,10,27 - 33 minutes,3,623,3,3,3735
Car|Bus|Uber/Lyft,20,50,0.2,0,10,0,10,40 - 60 minutes,3,623,4,1,3736
Car|Bus|Taxi,15,60,0.1,10,10,5,5,54 - 66 minutes,3,623,4,2,3736
Uber/Lyft|Bus|Uber/Lyft,10,50,0.05,0,10,5,0,48 - 52 minutes,3,623,4,3,3736
Uber/Lyft|Bus|Bus,25,30,0.05,0,10,0,5,28 - 32 minutes,3,623,5,1,3737
Bus,30,70,0.2,5,10,0,10,56 - 84 minutes,1,623,5,2,3737
Car|Bus|Taxi,10,70,0.05,0,0,5,10,66 - 74 minutes,3,623,5,3,3737
Bus,30,60,0.2,5,0,0,5,48 - 72 minutes,1,623,6,1,3738
Car|Bus|Taxi,30,40,0.05,10,10,10,5,38 - 42 minutes,3,623,6,2,3738
Taxi|Bus|Taxi,10,40,0.1,0,10,5,5,36 - 44 minutes,3,623,6,3,3738
Car|Bus|Taxi,20,60,0.05,0,0,0,5,57 - 63 minutes,3,624,1,1,3739
Car|Bus,10,70,0.1,10,10,0,10,63 - 77 minutes,2,624,1,2,3739
Car|Bus,10,70,0.2,0,10,0,0,56 - 84 minutes,2,624,1,3,3739
Taxi|Bus,10,60,0.1,5,5,0,0,54 - 66 minutes,2,624,2,1,3740
Car|Bus,30,60,0.05,5,0,0,5,57 - 63 minutes,2,624,2,2,3740
Car|Bus,20,70,0.05,10,0,0,5,66 - 74 minutes,2,624,2,3,3740
Bus,25,70,0.1,10,10,0,5,63 - 77 minutes,1,624,3,1,3741
Taxi,20,50,0.05,0,0,10,0,48 - 52 minutes,1,624,3,2,3741
Bus|Bus,20,40,0.1,5,5,0,0,36 - 44 minutes,2,624,3,3,3741
Car|Bus|Uber/Lyft,10,40,0.1,10,0,5,5,36 - 44 minutes,3,624,4,1,3742
Uber/Lyft|Bus,15,50,0.1,5,10,10,5,45 - 55 minutes,2,624,4,2,3742
Uber/Lyft,10,70,0.2,0,0,0,10,56 - 84 minutes,1,624,4,3,3742
Car,15,30,0.1,0,0,0,10,27 - 33 minutes,1,624,5,1,3743
Car|Bus|Uber/Lyft,20,70,0.2,10,0,0,0,56 - 84 minutes,3,624,5,2,3743
Taxi|Bus|Taxi,25,40,0.05,0,5,5,10,38 - 42 minutes,3,624,5,3,3743
Car,25,70,0.2,0,0,0,0,56 - 84 minutes,1,624,6,1,3744
Uber/Lyft,10,50,0.1,0,0,10,5,45 - 55 minutes,1,624,6,2,3744
Car|Bus,10,40,0.05,0,0,0,5,38 - 42 minutes,2,624,6,3,3744
Uber/Lyft,20,40,0.05,0,0,10,10,38 - 42 minutes,1,625,1,1,3745
Bus|Bus,30,70,0.05,10,10,0,5,66 - 74 minutes,2,625,1,2,3745
Car|Bus|Taxi,20,30,0.1,5,5,10,0,27 - 33 minutes,3,625,1,3,3745
Bus,15,30,0.05,10,5,0,0,28 - 32 minutes,1,625,2,1,3746
Car,15,50,0.1,0,0,0,10,45 - 55 minutes,1,625,2,2,3746
Car|Bus,25,60,0.2,0,5,0,0,48 - 72 minutes,2,625,2,3,3746
Uber/Lyft|Bus,15,60,0.05,5,0,0,0,57 - 63 minutes,2,625,3,1,3747
Car,20,40,0.05,0,0,0,5,38 - 42 minutes,1,625,3,2,3747
Bus,30,30,0.05,0,0,0,0,28 - 32 minutes,1,625,3,3,3747
Taxi|Bus,15,60,0.1,0,10,10,5,54 - 66 minutes,2,625,4,1,3748
Car|Bus|Taxi,30,50,0.1,0,0,5,10,45 - 55 minutes,3,625,4,2,3748
Taxi,20,30,0.1,0,0,5,0,27 - 33 minutes,1,625,4,3,3748
Taxi,10,40,0.2,0,0,10,5,32 - 48 minutes,1,625,5,1,3749
Bus|Bus|Uber/Lyft,30,70,0.05,10,5,10,5,66 - 74 minutes,3,625,5,2,3749
Taxi,30,50,0.05,0,0,0,10,48 - 52 minutes,1,625,5,3,3749
Bus|Bus|Uber/Lyft,25,70,0.05,0,10,10,10,66 - 74 minutes,3,625,6,1,3750
Bus,30,50,0.05,10,5,0,5,48 - 52 minutes,1,625,6,2,3750
Uber/Lyft|Bus|Uber/Lyft,20,50,0.1,0,0,0,0,45 - 55 minutes,3,625,6,3,3750
Car|Bus|Uber/Lyft,15,30,0.1,0,5,0,10,27 - 33 minutes,3,626,1,1,3751
Car,15,50,0.2,0,0,0,5,40 - 60 minutes,1,626,1,2,3751
Bus|Bus|Taxi,10,70,0.2,0,5,10,0,56 - 84 minutes,3,626,1,3,3751
Uber/Lyft,25,40,0.2,0,0,10,10,32 - 48 minutes,1,626,2,1,3752
Uber/Lyft|Bus,10,50,0.2,10,10,10,10,40 - 60 minutes,2,626,2,2,3752
Car,30,30,0.2,0,0,0,10,24 - 36 minutes,1,626,2,3,3752
Uber/Lyft|Bus,15,30,0.05,10,10,5,5,28 - 32 minutes,2,626,3,1,3753
Car|Bus|Taxi,20,50,0.2,5,10,5,5,40 - 60 minutes,3,626,3,2,3753
Car,15,60,0.1,0,0,0,5,54 - 66 minutes,1,626,3,3,3753
Car|Bus|Uber/Lyft,10,30,0.1,10,10,10,10,27 - 33 minutes,3,626,4,1,3754
Car|Bus|Taxi,15,60,0.2,5,0,10,10,48 - 72 minutes,3,626,4,2,3754
Car|Bus,10,50,0.1,5,5,0,10,45 - 55 minutes,2,626,4,3,3754
Uber/Lyft,25,70,0.1,0,0,10,5,63 - 77 minutes,1,626,5,1,3755
Car|Bus|Uber/Lyft,30,70,0.2,0,5,5,5,56 - 84 minutes,3,626,5,2,3755
Car|Bus|Taxi,25,50,0.2,5,0,5,10,40 - 60 minutes,3,626,5,3,3755
Car|Bus|Bus,25,30,0.05,10,5,0,0,28 - 32 minutes,3,626,6,1,3756
Car,30,70,0.1,0,0,0,0,63 - 77 minutes,1,626,6,2,3756
Bus,15,30,0.05,10,5,0,10,28 - 32 minutes,1,626,6,3,3756
Car|Bus,20,50,0.2,5,0,0,0,40 - 60 minutes,2,627,1,1,3757
Uber/Lyft|Bus,15,60,0.05,10,5,10,5,57 - 63 minutes,2,627,1,2,3757
Car|Bus|Uber/Lyft,15,70,0.2,0,10,5,10,56 - 84 minutes,3,627,1,3,3757
Bus,10,50,0.2,5,10,0,0,40 - 60 minutes,1,627,2,1,3758
Car|Bus|Uber/Lyft,15,70,0.2,5,0,10,5,56 - 84 minutes,3,627,2,2,3758
Uber/Lyft,25,70,0.05,0,0,10,10,66 - 74 minutes,1,627,2,3,3758
Uber/Lyft|Bus,25,50,0.2,10,0,10,10,40 - 60 minutes,2,627,3,1,3759
Car|Bus,15,30,0.2,10,5,0,0,24 - 36 minutes,2,627,3,2,3759
Taxi|Bus|Bus,10,50,0.2,10,10,5,0,40 - 60 minutes,3,627,3,3,3759
Bus|Bus|Taxi,20,40,0.1,0,10,0,10,36 - 44 minutes,3,627,4,1,3760
Car|Bus,15,60,0.2,5,0,0,0,48 - 72 minutes,2,627,4,2,3760
Car,25,30,0.1,0,0,0,10,27 - 33 minutes,1,627,4,3,3760
Taxi,10,30,0.1,0,0,10,5,27 - 33 minutes,1,627,5,1,3761
Bus,10,50,0.2,0,10,0,0,40 - 60 minutes,1,627,5,2,3761
Car,25,50,0.1,0,0,0,10,45 - 55 minutes,1,627,5,3,3761
Car|Bus|Uber/Lyft,30,70,0.05,10,10,10,10,66 - 74 minutes,3,627,6,1,3762
Car|Bus|Uber/Lyft,30,70,0.05,0,0,0,10,66 - 74 minutes,3,627,6,2,3762
Car|Bus|Bus,25,30,0.2,5,5,0,10,24 - 36 minutes,3,627,6,3,3762
Bus|Bus|Uber/Lyft,30,30,0.05,0,10,10,10,28 - 32 minutes,3,628,1,1,3763
Bus,25,70,0.05,0,0,0,5,66 - 74 minutes,1,628,1,2,3763
Uber/Lyft|Bus|Bus,30,40,0.2,0,5,5,10,32 - 48 minutes,3,628,1,3,3763
Car|Bus|Uber/Lyft,15,60,0.2,5,10,5,5,48 - 72 minutes,3,628,2,1,3764
Uber/Lyft|Bus,25,60,0.2,0,5,5,5,48 - 72 minutes,2,628,2,2,3764
Taxi|Bus,25,50,0.1,10,10,5,5,45 - 55 minutes,2,628,2,3,3764
Car,10,30,0.2,0,0,0,5,24 - 36 minutes,1,628,3,1,3765
Car|Bus|Taxi,25,60,0.1,0,0,5,0,54 - 66 minutes,3,628,3,2,3765
Car|Bus|Uber/Lyft,15,50,0.05,0,0,10,5,48 - 52 minutes,3,628,3,3,3765
Taxi|Bus,20,30,0.1,5,0,0,0,27 - 33 minutes,2,628,4,1,3766
Uber/Lyft|Bus|Uber/Lyft,25,50,0.05,5,10,0,5,48 - 52 minutes,3,628,4,2,3766
Uber/Lyft|Bus,20,50,0.2,5,0,10,0,40 - 60 minutes,2,628,4,3,3766
Taxi|Bus|Taxi,30,50,0.2,5,0,10,0,40 - 60 minutes,3,628,5,1,3767
Taxi|Bus,25,70,0.05,0,10,0,0,66 - 74 minutes,2,628,5,2,3767
Car|Bus|Taxi,15,40,0.1,0,0,5,10,36 - 44 minutes,3,628,5,3,3767
Car|Bus|Taxi,30,70,0.1,5,0,0,5,63 - 77 minutes,3,628,6,1,3768
Car|Bus|Uber/Lyft,10,70,0.2,10,10,5,5,56 - 84 minutes,3,628,6,2,3768
Car|Bus|Uber/Lyft,25,30,0.2,5,10,10,0,24 - 36 minutes,3,628,6,3,3768
Bus|Bus|Taxi,20,30,0.2,5,10,5,5,24 - 36 minutes,3,629,1,1,3769
Bus,25,40,0.1,0,10,0,5,36 - 44 minutes,1,629,1,2,3769
Bus,30,50,0.1,10,5,0,10,45 - 55 minutes,1,629,1,3,3769
Uber/Lyft|Bus|Bus,30,50,0.1,0,10,0,0,45 - 55 minutes,3,629,2,1,3770
Bus|Bus,25,50,0.05,5,10,0,5,48 - 52 minutes,2,629,2,2,3770
Car,10,70,0.2,0,0,0,0,56 - 84 minutes,1,629,2,3,3770
Taxi|Bus,15,40,0.05,0,0,5,0,38 - 42 minutes,2,629,3,1,3771
Car|Bus,25,40,0.1,0,0,0,0,36 - 44 minutes,2,629,3,2,3771
Car,30,50,0.1,0,0,0,5,45 - 55 minutes,1,629,3,3,3771
Car|Bus,15,60,0.2,0,10,0,0,48 - 72 minutes,2,629,4,1,3772
Taxi|Bus,30,60,0.2,0,5,0,10,48 - 72 minutes,2,629,4,2,3772
Uber/Lyft|Bus|Bus,30,70,0.1,5,0,5,0,63 - 77 minutes,3,629,4,3,3772
Uber/Lyft|Bus,25,60,0.1,10,5,5,10,54 - 66 minutes,2,629,5,1,3773
Car,10,60,0.2,0,0,0,10,48 - 72 minutes,1,629,5,2,3773
Taxi,20,70,0.05,0,0,5,5,66 - 74 minutes,1,629,5,3,3773
Uber/Lyft|Bus,30,50,0.1,5,10,10,0,45 - 55 minutes,2,629,6,1,3774
Bus|Bus,30,60,0.05,5,0,0,10,57 - 63 minutes,2,629,6,2,3774
Uber/Lyft|Bus,25,40,0.1,5,0,0,0,36 - 44 minutes,2,629,6,3,3774
Taxi,15,70,0.05,0,0,5,10,66 - 74 minutes,1,630,1,1,3775
Taxi|Bus,20,60,0.2,0,0,5,10,48 - 72 minutes,2,630,1,2,3775
Car|Bus|Uber/Lyft,20,60,0.05,0,5,5,10,57 - 63 minutes,3,630,1,3,3775
Car|Bus,25,60,0.2,10,10,0,10,48 - 72 minutes,2,630,2,1,3776
Taxi|Bus,20,70,0.2,5,5,0,10,56 - 84 minutes,2,630,2,2,3776
Taxi,30,40,0.2,0,0,5,5,32 - 48 minutes,1,630,2,3,3776
Uber/Lyft|Bus,30,70,0.1,10,10,10,0,63 - 77 minutes,2,630,3,1,3777
Car,25,70,0.05,0,0,0,0,66 - 74 minutes,1,630,3,2,3777
Car,15,70,0.1,0,0,0,0,63 - 77 minutes,1,630,3,3,3777
Uber/Lyft|Bus,25,60,0.05,5,5,5,0,57 - 63 minutes,2,630,4,1,3778
Uber/Lyft|Bus,10,60,0.1,10,5,0,10,54 - 66 minutes,2,630,4,2,3778
Uber/Lyft,20,70,0.2,0,0,5,0,56 - 84 minutes,1,630,4,3,3778
Taxi|Bus|Taxi,10,40,0.2,0,5,10,0,32 - 48 minutes,3,630,5,1,3779
Bus|Bus|Taxi,30,40,0.1,10,5,5,10,36 - 44 minutes,3,630,5,2,3779
Uber/Lyft|Bus|Bus,30,30,0.05,5,0,5,0,28 - 32 minutes,3,630,5,3,3779
Uber/Lyft|Bus,10,40,0.1,0,5,5,10,36 - 44 minutes,2,630,6,1,3780
Taxi|Bus|Bus,20,30,0.1,5,5,5,0,27 - 33 minutes,3,630,6,2,3780
Car|Bus,25,60,0.05,0,10,0,5,57 - 63 minutes,2,630,6,3,3780
Car|Bus|Uber/Lyft,20,40,0.2,10,0,5,5,32 - 48 minutes,3,631,1,1,3781
Car|Bus,25,60,0.1,10,10,0,0,54 - 66 minutes,2,631,1,2,3781
Uber/Lyft,20,30,0.1,0,0,10,0,27 - 33 minutes,1,631,1,3,3781
Uber/Lyft|Bus,25,30,0.1,10,5,0,5,27 - 33 minutes,2,631,2,1,3782
Uber/Lyft|Bus|Uber/Lyft,15,50,0.05,0,10,0,10,48 - 52 minutes,3,631,2,2,3782
Taxi|Bus,20,70,0.2,5,10,5,10,56 - 84 minutes,2,631,2,3,3782
Car|Bus,30,30,0.2,10,5,0,5,24 - 36 minutes,2,631,3,1,3783
Uber/Lyft|Bus,20,70,0.1,0,10,0,0,63 - 77 minutes,2,631,3,2,3783
Taxi|Bus,10,70,0.05,5,5,10,0,66 - 74 minutes,2,631,3,3,3783
Taxi|Bus,30,70,0.05,10,0,5,0,66 - 74 minutes,2,631,4,1,3784
Bus,30,40,0.05,0,0,0,0,38 - 42 minutes,1,631,4,2,3784
Taxi|Bus,20,60,0.1,10,5,5,5,54 - 66 minutes,2,631,4,3,3784
Uber/Lyft|Bus,15,60,0.2,5,10,5,5,48 - 72 minutes,2,631,5,1,3785
Uber/Lyft|Bus,30,40,0.2,5,0,0,0,32 - 48 minutes,2,631,5,2,3785
Bus,20,50,0.05,5,5,0,10,48 - 52 minutes,1,631,5,3,3785
Uber/Lyft,30,60,0.05,0,0,10,10,57 - 63 minutes,1,631,6,1,3786
Taxi|Bus|Taxi,30,60,0.1,10,10,5,10,54 - 66 minutes,3,631,6,2,3786
Uber/Lyft,25,30,0.1,0,0,5,0,27 - 33 minutes,1,631,6,3,3786
Car|Bus|Uber/Lyft,30,30,0.2,10,0,5,5,24 - 36 minutes,3,632,1,1,3787
Car|Bus,15,30,0.1,0,5,0,0,27 - 33 minutes,2,632,1,2,3787
Car|Bus,30,60,0.1,0,5,0,0,54 - 66 minutes,2,632,1,3,3787
Car|Bus|Uber/Lyft,10,70,0.1,0,10,5,0,63 - 77 minutes,3,632,2,1,3788
Uber/Lyft|Bus,15,30,0.2,0,10,0,10,24 - 36 minutes,2,632,2,2,3788
Car|Bus|Taxi,20,40,0.05,5,10,0,10,38 - 42 minutes,3,632,2,3,3788
Taxi,30,60,0.05,0,0,5,5,57 - 63 minutes,1,632,3,1,3789
Car,15,30,0.05,0,0,0,5,28 - 32 minutes,1,632,3,2,3789
Uber/Lyft|Bus|Bus,25,30,0.2,0,10,0,5,24 - 36 minutes,3,632,3,3,3789
Bus,25,40,0.2,0,10,0,0,32 - 48 minutes,1,632,4,1,3790
Car|Bus|Uber/Lyft,30,70,0.2,5,5,5,0,56 - 84 minutes,3,632,4,2,3790
Car|Bus|Taxi,30,70,0.1,10,10,5,5,63 - 77 minutes,3,632,4,3,3790
Taxi,25,70,0.2,0,0,5,0,56 - 84 minutes,1,632,5,1,3791
Bus|Bus|Uber/Lyft,20,30,0.2,10,0,10,5,24 - 36 minutes,3,632,5,2,3791
Car|Bus|Bus,30,30,0.05,5,5,0,0,28 - 32 minutes,3,632,5,3,3791
Bus,15,50,0.1,10,5,0,5,45 - 55 minutes,1,632,6,1,3792
Taxi|Bus|Taxi,25,40,0.2,5,5,10,10,32 - 48 minutes,3,632,6,2,3792
Taxi,15,30,0.2,0,0,5,10,24 - 36 minutes,1,632,6,3,3792
Taxi,25,50,0.2,0,0,5,5,40 - 60 minutes,1,633,1,1,3793
Bus|Bus,20,70,0.05,10,0,0,5,66 - 74 minutes,2,633,1,2,3793
Car|Bus|Bus,15,70,0.1,0,10,0,10,63 - 77 minutes,3,633,1,3,3793
Uber/Lyft,30,40,0.2,0,0,0,5,32 - 48 minutes,1,633,2,1,3794
Car,15,40,0.05,0,0,0,5,38 - 42 minutes,1,633,2,2,3794
Car|Bus|Taxi,25,50,0.2,0,5,10,5,40 - 60 minutes,3,633,2,3,3794
Bus|Bus|Taxi,20,50,0.1,5,0,10,5,45 - 55 minutes,3,633,3,1,3795
Bus,10,30,0.1,0,10,0,10,27 - 33 minutes,1,633,3,2,3795
Uber/Lyft,10,60,0.05,0,0,0,5,57 - 63 minutes,1,633,3,3,3795
Car|Bus|Bus,30,70,0.1,0,10,0,10,63 - 77 minutes,3,633,4,1,3796
Uber/Lyft|Bus|Bus,15,50,0.05,0,5,10,0,48 - 52 minutes,3,633,4,2,3796
Uber/Lyft|Bus,25,50,0.05,0,5,5,0,48 - 52 minutes,2,633,4,3,3796
Car|Bus,20,60,0.05,5,5,0,5,57 - 63 minutes,2,633,5,1,3797
Bus|Bus|Uber/Lyft,15,40,0.2,10,5,5,10,32 - 48 minutes,3,633,5,2,3797
Bus|Bus,30,60,0.1,0,5,0,5,54 - 66 minutes,2,633,5,3,3797
Taxi|Bus|Taxi,30,30,0.05,0,0,0,5,28 - 32 minutes,3,633,6,1,3798
Car|Bus|Uber/Lyft,30,60,0.05,5,10,10,0,57 - 63 minutes,3,633,6,2,3798
Uber/Lyft|Bus|Bus,30,40,0.05,0,0,5,10,38 - 42 minutes,3,633,6,3,3798
Car|Bus|Taxi,25,40,0.1,5,10,5,5,36 - 44 minutes,3,634,1,1,3799
Car|Bus,30,30,0.1,5,0,0,10,27 - 33 minutes,2,634,1,2,3799
Uber/Lyft,20,30,0.2,0,0,5,5,24 - 36 minutes,1,634,1,3,3799
Car|Bus,20,40,0.05,5,0,0,10,38 - 42 minutes,2,634,2,1,3800
Taxi,20,30,0.2,0,0,5,10,24 - 36 minutes,1,634,2,2,3800
Car|Bus,30,30,0.05,0,5,0,0,28 - 32 minutes,2,634,2,3,3800
Bus,15,70,0.1,0,10,0,5,63 - 77 minutes,1,634,3,1,3801
Bus,20,40,0.1,0,0,0,10,36 - 44 minutes,1,634,3,2,3801
Bus|Bus|Uber/Lyft,25,50,0.05,10,0,10,10,48 - 52 minutes,3,634,3,3,3801
Uber/Lyft|Bus,25,40,0.05,0,5,0,0,38 - 42 minutes,2,634,4,1,3802
Car,20,70,0.1,0,0,0,10,63 - 77 minutes,1,634,4,2,3802
Car|Bus|Uber/Lyft,10,70,0.2,10,10,5,10,56 - 84 minutes,3,634,4,3,3802
Car|Bus|Taxi,15,60,0.2,5,5,5,5,48 - 72 minutes,3,634,5,1,3803
Car|Bus,25,70,0.05,5,5,0,5,66 - 74 minutes,2,634,5,2,3803
Car|Bus,30,70,0.1,0,0,0,0,63 - 77 minutes,2,634,5,3,3803
Uber/Lyft,10,70,0.05,0,0,5,0,66 - 74 minutes,1,634,6,1,3804
Taxi|Bus|Bus,15,50,0.2,5,10,10,5,40 - 60 minutes,3,634,6,2,3804
Car|Bus,25,70,0.1,10,0,0,0,63 - 77 minutes,2,634,6,3,3804
Taxi,25,40,0.2,0,0,0,0,32 - 48 minutes,1,635,1,1,3805
Car|Bus|Uber/Lyft,15,40,0.1,5,10,0,5,36 - 44 minutes,3,635,1,2,3805
Uber/Lyft|Bus|Bus,15,50,0.1,0,10,0,0,45 - 55 minutes,3,635,1,3,3805
Car|Bus,20,30,0.05,0,10,0,5,28 - 32 minutes,2,635,2,1,3806
Bus|Bus|Uber/Lyft,20,50,0.1,0,0,5,5,45 - 55 minutes,3,635,2,2,3806
Car|Bus,15,40,0.2,0,0,0,5,32 - 48 minutes,2,635,2,3,3806
Uber/Lyft,15,60,0.2,0,0,5,10,48 - 72 minutes,1,635,3,1,3807
Car|Bus,10,30,0.1,10,10,0,10,27 - 33 minutes,2,635,3,2,3807
Bus,20,60,0.2,0,0,0,5,48 - 72 minutes,1,635,3,3,3807
Bus|Bus|Uber/Lyft,30,40,0.2,0,10,5,0,32 - 48 minutes,3,635,4,1,3808
Car|Bus|Taxi,25,70,0.05,0,5,10,0,66 - 74 minutes,3,635,4,2,3808
Car|Bus|Taxi,30,60,0.1,0,10,0,0,54 - 66 minutes,3,635,4,3,3808
Taxi,20,30,0.2,0,0,0,10,24 - 36 minutes,1,635,5,1,3809
Bus|Bus|Taxi,25,40,0.2,5,5,0,0,32 - 48 minutes,3,635,5,2,3809
Car|Bus|Bus,30,30,0.05,10,5,0,10,28 - 32 minutes,3,635,5,3,3809
Car,30,60,0.05,0,0,0,5,57 - 63 minutes,1,635,6,1,3810
Taxi,10,50,0.1,0,0,5,5,45 - 55 minutes,1,635,6,2,3810
Car,20,60,0.1,0,0,0,0,54 - 66 minutes,1,635,6,3,3810
Bus,25,60,0.1,10,10,0,10,54 - 66 minutes,1,636,1,1,3811
Taxi,15,70,0.2,0,0,10,5,56 - 84 minutes,1,636,1,2,3811
Car|Bus,10,50,0.2,10,10,0,5,40 - 60 minutes,2,636,1,3,3811
Uber/Lyft|Bus,20,30,0.2,0,5,0,5,24 - 36 minutes,2,636,2,1,3812
Uber/Lyft|Bus,15,70,0.05,5,5,10,5,66 - 74 minutes,2,636,2,2,3812
Car|Bus,10,40,0.2,0,5,0,10,32 - 48 minutes,2,636,2,3,3812
Uber/Lyft|Bus,15,60,0.2,10,5,10,0,48 - 72 minutes,2,636,3,1,3813
Uber/Lyft|Bus|Bus,15,40,0.1,5,10,0,0,36 - 44 minutes,3,636,3,2,3813
Taxi|Bus,20,50,0.2,10,10,0,0,40 - 60 minutes,2,636,3,3,3813
Bus,10,50,0.1,5,5,0,10,45 - 55 minutes,1,636,4,1,3814
Bus|Bus|Taxi,20,70,0.05,10,5,5,5,66 - 74 minutes,3,636,4,2,3814
Car|Bus,15,60,0.2,10,10,0,0,48 - 72 minutes,2,636,4,3,3814
Car|Bus|Uber/Lyft,10,50,0.2,0,10,5,10,40 - 60 minutes,3,636,5,1,3815
Uber/Lyft|Bus,25,60,0.05,10,5,5,10,57 - 63 minutes,2,636,5,2,3815
Car|Bus,10,60,0.1,0,0,0,10,54 - 66 minutes,2,636,5,3,3815
Car,15,50,0.05,0,0,0,10,48 - 52 minutes,1,636,6,1,3816
Car|Bus|Taxi,20,30,0.1,10,0,10,0,27 - 33 minutes,3,636,6,2,3816
Bus|Bus|Uber/Lyft,20,70,0.2,0,0,10,10,56 - 84 minutes,3,636,6,3,3816
Taxi,15,30,0.05,0,0,5,5,28 - 32 minutes,1,637,1,1,3817
Car|Bus,20,30,0.05,0,10,0,10,28 - 32 minutes,2,637,1,2,3817
Car|Bus,20,50,0.2,10,5,0,5,40 - 60 minutes,2,637,1,3,3817
Car|Bus|Uber/Lyft,15,40,0.05,10,10,5,10,38 - 42 minutes,3,637,2,1,3818
Car|Bus|Taxi,30,40,0.2,0,10,0,0,32 - 48 minutes,3,637,2,2,3818
Bus,30,70,0.1,5,5,0,5,63 - 77 minutes,1,637,2,3,3818
Car|Bus|Taxi,25,50,0.05,0,0,0,5,48 - 52 minutes,3,637,3,1,3819
Taxi,20,30,0.1,0,0,0,10,27 - 33 minutes,1,637,3,2,3819
Uber/Lyft|Bus,10,50,0.2,0,5,0,10,40 - 60 minutes,2,637,3,3,3819
Uber/Lyft|Bus,25,30,0.2,10,0,0,0,24 - 36 minutes,2,637,4,1,3820
Uber/Lyft|Bus,10,70,0.1,0,0,10,5,63 - 77 minutes,2,637,4,2,3820
Taxi|Bus,10,60,0.2,0,0,0,10,48 - 72 minutes,2,637,4,3,3820
Taxi,25,30,0.2,0,0,10,10,24 - 36 minutes,1,637,5,1,3821
Taxi|Bus,10,60,0.05,5,5,10,10,57 - 63 minutes,2,637,5,2,3821
Car|Bus|Taxi,15,40,0.05,10,10,0,5,38 - 42 minutes,3,637,5,3,3821
Taxi|Bus|Taxi,10,60,0.05,5,10,5,0,57 - 63 minutes,3,637,6,1,3822
Car|Bus|Uber/Lyft,30,40,0.05,5,0,0,0,38 - 42 minutes,3,637,6,2,3822
Taxi|Bus,15,60,0.05,5,10,10,0,57 - 63 minutes,2,637,6,3,3822
Taxi|Bus|Taxi,15,40,0.2,0,10,5,10,32 - 48 minutes,3,638,1,1,3823
Uber/Lyft|Bus,15,70,0.1,5,10,10,10,63 - 77 minutes,2,638,1,2,3823
Car|Bus|Uber/Lyft,20,60,0.05,5,5,10,10,57 - 63 minutes,3,638,1,3,3823
Uber/Lyft,20,30,0.1,0,0,10,10,27 - 33 minutes,1,638,2,1,3824
Uber/Lyft|Bus,15,70,0.1,10,5,5,10,63 - 77 minutes,2,638,2,2,3824
Taxi|Bus,25,70,0.1,0,10,10,0,63 - 77 minutes,2,638,2,3,3824
Car|Bus|Taxi,20,30,0.05,5,5,0,5,28 - 32 minutes,3,638,3,1,3825
Uber/Lyft,10,70,0.1,0,0,0,0,63 - 77 minutes,1,638,3,2,3825
Taxi,20,70,0.2,0,0,5,5,56 - 84 minutes,1,638,3,3,3825
Uber/Lyft|Bus|Uber/Lyft,20,40,0.2,10,10,0,5,32 - 48 minutes,3,638,4,1,3826
Taxi|Bus,15,70,0.2,10,0,5,0,56 - 84 minutes,2,638,4,2,3826
Taxi|Bus|Taxi,15,60,0.05,10,10,10,5,57 - 63 minutes,3,638,4,3,3826
Car|Bus,15,50,0.05,0,0,0,5,48 - 52 minutes,2,638,5,1,3827
Car|Bus,15,60,0.1,0,0,0,5,54 - 66 minutes,2,638,5,2,3827
Car|Bus,10,70,0.2,5,5,0,10,56 - 84 minutes,2,638,5,3,3827
Car|Bus|Uber/Lyft,20,60,0.2,5,5,5,0,48 - 72 minutes,3,638,6,1,3828
Uber/Lyft|Bus|Bus,20,60,0.2,0,5,5,0,48 - 72 minutes,3,638,6,2,3828
Car|Bus,25,60,0.1,5,10,0,5,54 - 66 minutes,2,638,6,3,3828
Car|Bus,20,30,0.05,10,5,0,0,28 - 32 minutes,2,639,1,1,3829
Car|Bus|Taxi,20,70,0.2,10,0,5,0,56 - 84 minutes,3,639,1,2,3829
Car|Bus|Taxi,10,30,0.05,10,0,10,10,28 - 32 minutes,3,639,1,3,3829
Bus|Bus,25,40,0.05,10,0,0,0,38 - 42 minutes,2,639,2,1,3830
Taxi,10,40,0.05,0,0,10,10,38 - 42 minutes,1,639,2,2,3830
Uber/Lyft,30,50,0.1,0,0,0,0,45 - 55 minutes,1,639,2,3,3830
Car,10,60,0.1,0,0,0,5,54 - 66 minutes,1,639,3,1,3831
Car|Bus|Uber/Lyft,20,70,0.05,0,10,0,10,66 - 74 minutes,3,639,3,2,3831
Car|Bus,30,40,0.05,5,0,0,0,38 - 42 minutes,2,639,3,3,3831
