leg1Mode,leg2Mode,leg3Mode,price,leg1Time,leg2Time,leg3Time,transfer1Time,transfer2Time,transfer3Time,tripTimeUnc,numLegs,lastLegMode,trip,carInTrip,expressInTrip,walkInTrip,busInTrip,taxiInTrip,uberInTrip,totalLegTime,totalWaitTime,totalTripTime,tripTimeMax,tripTimeRange,rowID,respID,qID,altID,obsID
Bus,Bus,Walk,2,10,15,15,5,10,0,0.2,3,Walk,Bus|Bus|Walk,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,40,15,55,66,55 - 66 minutes,42622,53,2,2,314
Taxi,Walk,None,25,25,15,0,10,0,0,0.05,2,Walk,Taxi|Walk,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,40,10,50,53,50 - 53 minutes,3834,53,2,3,314
Walk,Bus,None,10,10,15,0,0,10,0,0.2,2,Bus,Walk|Bus,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,25,10,35,42,35 - 42 minutes,41048,53,3,1,315
Walk,Bus,Taxi,10,10,10,15,0,2,10,0.1,3,Taxi,Walk|Bus|Taxi,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,35,12,47,52,47 - 52 minutes,30421,53,3,2,315
Uber/Lyft,Walk,None,15,20,15,0,2,0,0,0.2,2,Walk,Uber/Lyft|Walk,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,35,2,37,45,37 - 45 minutes,33872,53,3,3,315
Uber/Lyft,Walk,None,30,20,15,0,5,0,0,0.1,2,Walk,Uber/Lyft|Walk,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,35,5,40,44,40 - 44 minutes,18946,53,4,1,316
Taxi,None,None,30,30,0,0,2,0,0,0.05,1,Taxi,Taxi,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,30,2,32,34,32 - 34 minutes,418,53,4,2,316
Taxi,None,None,25,10,0,0,5,0,0,0.1,1,Taxi,Taxi,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,10,5,15,17,15 - 17 minutes,18422,53,4,3,316
Taxi,Walk,None,25,25,10,0,5,0,0,0.1,2,Walk,Taxi|Walk,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,35,5,40,44,40 - 44 minutes,18662,53,5,1,317
Uber/Lyft,Walk,None,10,10,10,0,10,0,0,0.05,2,Walk,Uber/Lyft|Walk,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,20,10,30,32,30 - 32 minutes,3219,53,5,2,317
Bus,None,None,5,30,0,0,5,0,0,0.2,1,Bus,Bus,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,30,5,35,42,35 - 42 minutes,35308,53,5,3,317
Walk,Bus,Taxi,30,15,10,20,0,2,2,0.2,3,Taxi,Walk|Bus|Taxi,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,45,4,49,59,49 - 59 minutes,34793,53,6,1,318
Bus,Walk,Taxi,15,30,15,15,5,0,10,0.05,3,Taxi,Bus|Walk|Taxi,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,60,15,75,79,75 - 79 minutes,14624,53,6,2,318
Bus,Bus,Walk,10,20,10,10,5,5,0,0.05,3,Walk,Bus|Bus|Walk,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,40,10,50,53,50 - 53 minutes,5904,53,6,3,318
Walk,Bus,Uber/Lyft,15,15,10,15,0,5,5,0.1,3,Uber/Lyft,Walk|Bus|Uber/Lyft,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,40,10,50,56,50 - 56 minutes,29029,54,1,1,319
Bus,None,None,2,10,0,0,2,0,0,0.1,1,Bus,Bus,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,10,2,12,14,12 - 14 minutes,16624,54,1,2,319
Uber/Lyft,Walk,None,10,20,15,0,2,0,0,0.1,2,Walk,Uber/Lyft|Walk,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,35,2,37,41,37 - 41 minutes,17235,54,1,3,319
Walk,Bus,Bus,5,15,15,20,0,5,5,0.2,3,Bus,Walk|Bus|Bus,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,50,10,60,72,60 - 72 minutes,45811,54,2,1,320
Bus,Walk,None,5,20,15,0,2,0,0,0.2,2,Walk,Bus|Walk,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,35,2,37,45,37 - 45 minutes,33849,54,2,2,320
Walk,Bus,Bus,2,10,15,10,0,2,2,0.1,3,Bus,Walk|Bus|Bus,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,35,4,39,43,39 - 43 minutes,17056,54,2,3,320
Bus,Walk,Bus,5,25,10,15,10,0,2,0.05,3,Bus,Bus|Walk|Bus,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,50,12,62,66,62 - 66 minutes,4200,54,3,1,321
Bus,None,None,5,10,0,0,2,0,0,0.05,1,Bus,Bus,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,10,2,12,13,12 - 13 minutes,10,54,3,2,321
Bus,Taxi,None,15,25,15,0,5,2,0,0.1,2,Taxi,Bus|Taxi,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,40,7,47,52,47 - 52 minutes,18978,54,3,3,321
Walk,Bus,Walk,10,15,15,15,0,10,0,0.05,3,Walk,Walk|Bus|Walk,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,45,10,55,58,55 - 58 minutes,8410,54,4,1,322
Bus,Bus,Walk,10,20,10,10,5,10,0,0.2,3,Walk,Bus|Bus|Walk,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,40,15,55,66,55 - 66 minutes,42048,54,4,2,322
Taxi,Bus,None,20,30,10,0,5,5,0,0.2,2,Bus,Taxi|Bus,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,40,10,50,60,50 - 60 minutes,39238,54,4,3,322
Walk,Bus,Uber/Lyft,30,10,20,15,0,5,2,0.1,3,Uber/Lyft,Walk|Bus|Uber/Lyft,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,45,7,52,58,52 - 58 minutes,22228,54,5,1,323
Walk,Bus,Uber/Lyft,20,10,10,15,0,5,10,0.05,3,Uber/Lyft,Walk|Bus|Uber/Lyft,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,35,15,50,53,50 - 53 minutes,15479,54,5,2,323
Bus,Bus,Walk,5,30,15,15,5,2,0,0.2,3,Walk,Bus|Bus|Walk,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,60,7,67,81,67 - 81 minutes,36166,54,5,3,323
Walk,Bus,Walk,5,10,10,10,0,2,0,0.05,3,Walk,Walk|Bus|Walk,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,30,2,32,34,32 - 34 minutes,18,54,6,1,324
Bus,Uber/Lyft,None,20,15,15,0,10,2,0,0.05,2,Uber/Lyft,Bus|Uber/Lyft,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,30,12,42,45,42 - 45 minutes,3689,54,6,2,324
Taxi,None,None,25,25,0,0,5,0,0,0.05,1,Taxi,Taxi,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,25,5,30,32,30 - 32 minutes,2033,54,6,3,324
Walk,Bus,Bus,10,15,10,15,0,2,5,0.05,3,Bus,Walk|Bus|Bus,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,40,7,47,50,47 - 50 minutes,10743,55,1,1,325
Taxi,None,None,30,20,0,0,10,0,0,0.2,1,Taxi,Taxi,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,20,10,30,36,30 - 36 minutes,36668,55,1,2,325
Taxi,None,None,30,10,0,0,2,0,0,0.2,1,Taxi,Taxi,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,10,2,12,15,12 - 15 minutes,33331,55,1,3,325
Uber/Lyft,Walk,None,10,25,15,0,2,0,0,0.05,2,Walk,Uber/Lyft|Walk,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,40,2,42,45,42 - 45 minutes,677,55,2,1,326
Walk,Bus,Walk,2,15,20,10,0,2,0,0.05,3,Walk,Walk|Bus|Walk,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,45,2,47,50,47 - 50 minutes,855,55,2,2,326
Taxi,Bus,Walk,15,10,10,15,10,10,0,0.05,3,Walk,Taxi|Bus|Walk,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,35,20,55,58,55 - 58 minutes,10174,55,2,3,326
Taxi,Walk,None,30,10,15,0,5,0,0,0.1,2,Walk,Taxi|Walk,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,25,5,30,33,30 - 33 minutes,18817,55,3,1,327
Taxi,None,None,20,20,0,0,5,0,0,0.05,1,Taxi,Taxi,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,20,5,25,27,25 - 27 minutes,1943,55,3,2,327
Bus,Bus,Walk,2,30,15,15,2,2,0,0.05,3,Walk,Bus|Bus|Walk,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,60,4,64,68,64 - 68 minutes,1352,55,3,3,327
Walk,Bus,None,5,15,15,0,0,10,0,0.2,2,Bus,Walk|Bus,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,30,10,40,48,40 - 48 minutes,41096,55,4,1,328
Uber/Lyft,None,None,20,15,0,0,5,0,0,0.2,1,Uber/Lyft,Uber/Lyft,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,15,5,20,24,20 - 24 minutes,35110,55,4,2,328
Uber/Lyft,Walk,None,15,25,10,0,10,0,0,0.1,2,Walk,Uber/Lyft|Walk,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,35,10,45,50,45 - 50 minutes,20092,55,4,3,328
Bus,Bus,None,5,10,10,0,2,5,0,0.05,2,Bus,Bus|Bus,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,20,7,27,29,27 - 29 minutes,4660,55,5,1,329
Taxi,Bus,Walk,30,20,15,15,2,2,0,0.2,3,Walk,Taxi|Bus|Walk,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,50,4,54,65,54 - 65 minutes,34566,55,5,2,329
Bus,Walk,Bus,2,10,10,10,2,0,5,0.1,3,Bus,Bus|Walk|Bus,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,30,7,37,41,37 - 41 minutes,27075,55,5,3,329
Walk,Bus,None,2,10,20,0,0,5,0,0.2,2,Bus,Walk|Bus,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,30,5,35,42,35 - 42 minutes,38367,55,6,1,330
Taxi,Walk,None,25,25,10,0,2,0,0,0.1,2,Walk,Taxi|Walk,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,35,2,37,41,37 - 41 minutes,16957,55,6,2,330
Taxi,None,None,30,25,0,0,5,0,0,0.1,1,Taxi,Taxi,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,25,5,30,33,30 - 33 minutes,18668,55,6,3,330
Taxi,Bus,Walk,15,25,15,10,10,5,0,0.2,3,Walk,Taxi|Bus|Walk,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,50,15,65,78,65 - 78 minutes,40260,56,1,1,331
Taxi,None,None,10,25,0,0,2,0,0,0.05,1,Taxi,Taxi,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,25,2,27,29,27 - 29 minutes,286,56,1,2,331
Taxi,None,None,20,30,0,0,10,0,0,0.1,1,Taxi,Taxi,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,30,10,40,44,40 - 44 minutes,20177,56,1,3,331
Taxi,None,None,10,20,0,0,5,0,0,0.2,1,Taxi,Taxi,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,20,5,25,30,25 - 30 minutes,35159,56,2,1,332
Uber/Lyft,Walk,None,10,20,10,0,2,0,0,0.1,2,Walk,Uber/Lyft|Walk,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,30,2,32,36,32 - 36 minutes,16838,56,2,2,332
Bus,Bus,Walk,10,15,10,10,10,2,0,0.05,3,Walk,Bus|Bus|Walk,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,35,12,47,50,47 - 50 minutes,3306,56,2,3,332
Bus,Walk,Bus,2,30,15,15,10,0,2,0.1,3,Bus,Bus|Walk|Bus,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,60,12,72,80,72 - 80 minutes,20994,56,3,1,333
Walk,Bus,Walk,2,15,10,15,0,2,0,0.2,3,Walk,Walk|Bus|Walk,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,40,2,42,51,42 - 51 minutes,34320,56,3,2,333
Taxi,Bus,None,10,10,10,0,5,2,0,0.2,2,Bus,Taxi|Bus,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,20,7,27,33,27 - 33 minutes,35008,56,3,3,333
Taxi,Bus,None,15,20,15,0,5,10,0,0.05,2,Bus,Taxi|Bus,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,35,15,50,53,50 - 53 minutes,9001,56,4,1,334
Bus,None,None,2,30,0,0,5,0,0,0.05,1,Bus,Bus,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,30,5,35,37,35 - 37 minutes,2056,56,4,2,334
Taxi,None,None,10,25,0,0,5,0,0,0.05,1,Taxi,Taxi,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,25,5,30,32,30 - 32 minutes,1991,56,4,3,334
Taxi,None,None,20,30,0,0,2,0,0,0.1,1,Taxi,Taxi,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,30,2,32,36,32 - 36 minutes,17017,56,5,1,335
Walk,Bus,None,5,15,15,0,0,10,0,0.05,2,Bus,Walk|Bus,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,30,10,40,42,40 - 42 minutes,7850,56,5,2,335
Taxi,None,None,10,25,0,0,2,0,0,0.2,1,Taxi,Taxi,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,25,2,27,33,27 - 33 minutes,33532,56,5,3,335
Taxi,None,None,20,20,0,0,10,0,0,0.2,1,Taxi,Taxi,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,20,10,30,36,30 - 36 minutes,36644,56,6,1,336
Taxi,None,None,20,25,0,0,5,0,0,0.2,1,Taxi,Taxi,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,25,5,30,36,30 - 36 minutes,35267,56,6,2,336
Uber/Lyft,Walk,None,25,30,15,0,2,0,0,0.1,2,Walk,Uber/Lyft|Walk,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,45,2,47,52,47 - 52 minutes,17399,56,6,3,336
Bus,None,None,5,20,0,0,5,0,0,0.05,1,Bus,Bus,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,20,5,25,27,25 - 27 minutes,1906,57,1,1,337
Bus,Bus,Walk,10,10,20,15,2,2,0,0.2,3,Walk,Bus|Bus|Walk,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,45,4,49,59,49 - 59 minutes,34639,57,1,2,337
Taxi,None,None,25,25,0,0,10,0,0,0.1,1,Taxi,Taxi,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,25,10,35,39,35 - 39 minutes,20111,57,1,3,337
Bus,Bus,None,5,15,10,0,5,5,0,0.05,2,Bus,Bus|Bus,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,25,10,35,37,35 - 37 minutes,5854,57,2,1,338
Bus,Taxi,None,15,20,15,0,2,2,0,0.05,2,Taxi,Bus|Taxi,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,35,4,39,41,39 - 41 minutes,623,57,2,2,338
Walk,Bus,Taxi,25,10,15,10,0,10,5,0.1,3,Taxi,Walk|Bus|Taxi,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,35,15,50,56,50 - 56 minutes,29575,57,2,3,338
Walk,Bus,Uber/Lyft,10,15,15,20,0,5,10,0.05,3,Uber/Lyft,Walk|Bus|Uber/Lyft,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,50,15,65,69,65 - 69 minutes,15653,57,3,1,339
Uber/Lyft,Bus,None,25,15,20,0,5,10,0,0.05,2,Bus,Uber/Lyft|Bus,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,35,15,50,53,50 - 53 minutes,9168,57,3,2,339
Taxi,Walk,None,10,25,15,0,2,0,0,0.2,2,Walk,Taxi|Walk,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,40,2,42,51,42 - 51 minutes,33924,57,3,3,339
Uber/Lyft,None,None,10,30,0,0,2,0,0,0.2,1,Uber/Lyft,Uber/Lyft,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,30,2,32,39,32 - 39 minutes,33609,57,4,1,340
Taxi,Walk,None,20,30,15,0,2,0,0,0.05,2,Walk,Taxi|Walk,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,45,2,47,50,47 - 50 minutes,767,57,4,2,340
Taxi,None,None,10,25,0,0,5,0,0,0.2,1,Taxi,Taxi,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,25,5,30,36,30 - 36 minutes,35237,57,4,3,340
Uber/Lyft,Walk,None,15,30,15,0,10,0,0,0.05,2,Walk,Uber/Lyft|Walk,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,45,10,55,58,55 - 58 minutes,3878,57,5,1,341
Bus,Uber/Lyft,None,25,25,15,0,5,2,0,0.05,2,Uber/Lyft,Bus|Uber/Lyft,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,40,7,47,50,47 - 50 minutes,2374,57,5,2,341
Uber/Lyft,None,None,10,25,0,0,2,0,0,0.1,1,Uber/Lyft,Uber/Lyft,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,25,2,27,30,27 - 30 minutes,16908,57,5,3,341
Bus,Bus,Walk,5,25,15,15,10,5,0,0.2,3,Walk,Bus|Bus|Walk,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,55,15,70,84,70 - 84 minutes,40644,57,6,1,342
Taxi,None,None,10,20,0,0,2,0,0,0.1,1,Taxi,Taxi,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,20,2,22,25,22 - 25 minutes,16831,57,6,2,342
Bus,None,None,5,30,0,0,2,0,0,0.05,1,Bus,Bus,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,30,2,32,34,32 - 34 minutes,357,57,6,3,342
Bus,Bus,Walk,10,20,20,10,10,2,0,0.1,3,Walk,Bus|Bus|Walk,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,50,12,62,69,62 - 69 minutes,20629,58,1,1,343
Taxi,Bus,Walk,15,25,20,15,5,10,0,0.2,3,Walk,Taxi|Bus|Walk,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,60,15,75,90,75 - 90 minutes,42758,58,1,2,343
Bus,Taxi,None,20,25,10,0,10,2,0,0.05,2,Taxi,Bus|Taxi,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,35,12,47,50,47 - 50 minutes,3478,58,1,3,343
Bus,Bus,Bus,5,15,15,20,10,5,5,0.05,3,Bus,Bus|Bus|Bus,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,50,20,70,74,70 - 74 minutes,12872,58,2,1,344
Bus,Walk,Bus,5,20,15,15,5,0,5,0.2,3,Bus,Bus|Walk|Bus,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,50,10,60,72,60 - 72 minutes,44745,58,2,2,344
Uber/Lyft,Walk,None,15,25,10,0,10,0,0,0.2,2,Walk,Uber/Lyft|Walk,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,35,10,45,54,45 - 54 minutes,36715,58,2,3,344
Bus,Bus,Walk,10,15,10,10,10,5,0,0.2,3,Walk,Bus|Bus|Walk,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,35,15,50,60,50 - 60 minutes,39981,58,3,1,345
Bus,Bus,Walk,10,15,15,15,10,2,0,0.2,3,Walk,Bus|Bus|Walk,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,45,12,57,69,57 - 69 minutes,37541,58,3,2,345
Bus,Bus,Walk,2,25,10,15,2,2,0,0.2,3,Walk,Bus|Bus|Walk,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,50,4,54,65,54 - 65 minutes,34392,58,3,3,345
Bus,None,None,2,20,0,0,5,0,0,0.2,1,Bus,Bus,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,20,5,25,30,25 - 30 minutes,35146,58,4,1,346
Bus,Walk,Taxi,30,25,15,20,10,0,2,0.1,3,Taxi,Bus|Walk|Taxi,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,60,12,72,80,72 - 80 minutes,21245,58,4,2,346
Taxi,None,None,15,25,0,0,10,0,0,0.05,1,Taxi,Taxi,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,25,10,35,37,35 - 37 minutes,3464,58,4,3,346
Taxi,Bus,None,30,15,20,0,2,10,0,0.1,2,Bus,Taxi|Bus,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,35,12,47,52,47 - 52 minutes,24752,58,5,1,347
Bus,Walk,None,5,10,15,0,5,0,0,0.05,2,Walk,Bus|Walk,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,25,5,30,32,30 - 32 minutes,2140,58,5,2,347
Bus,None,None,10,15,0,0,2,0,0,0.05,1,Bus,Bus,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,15,2,17,18,17 - 18 minutes,118,58,5,3,347
Walk,Bus,None,5,10,10,0,0,5,0,0.05,2,Bus,Walk|Bus,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,20,5,25,27,25 - 27 minutes,4661,58,6,1,348
Taxi,None,None,30,30,0,0,10,0,0,0.2,1,Taxi,Taxi,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,30,10,40,48,40 - 48 minutes,36824,58,6,2,348
Uber/Lyft,Walk,None,10,25,10,0,10,0,0,0.1,2,Walk,Uber/Lyft|Walk,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,35,10,45,50,45 - 50 minutes,20076,58,6,3,348
Bus,Walk,Bus,5,10,15,15,5,0,2,0.1,3,Bus,Bus|Walk|Bus,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,40,7,47,52,47 - 52 minutes,19426,59,1,1,349
Walk,Bus,Bus,10,15,10,20,0,2,10,0.2,3,Bus,Walk|Bus|Bus,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,45,12,57,69,57 - 69 minutes,47329,59,1,2,349
Taxi,None,None,30,10,0,0,10,0,0,0.05,1,Taxi,Taxi,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,10,10,20,21,20 - 21 minutes,3266,59,1,3,349
Taxi,Bus,Walk,20,25,10,15,5,10,0,0.05,3,Walk,Taxi|Bus|Walk,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,50,15,65,69,65 - 69 minutes,9354,59,2,1,350
Taxi,Walk,None,10,10,10,0,10,0,0,0.2,2,Walk,Taxi|Walk,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,20,10,30,36,30 - 36 minutes,36466,59,2,2,350
Walk,Bus,None,10,10,10,0,0,10,0,0.2,2,Bus,Walk|Bus,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,20,10,30,36,30 - 36 minutes,40815,59,2,3,350
Taxi,None,None,25,30,0,0,5,0,0,0.1,1,Taxi,Taxi,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,30,5,35,39,35 - 39 minutes,18734,59,3,1,351
Bus,Walk,Bus,2,15,15,20,10,0,5,0.2,3,Bus,Bus|Walk|Bus,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,50,15,65,78,65 - 78 minutes,45427,59,3,2,351
Walk,Bus,None,5,15,20,0,0,5,0,0.05,2,Bus,Walk|Bus,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,35,5,40,42,40 - 42 minutes,5185,59,3,3,351
Bus,Walk,Bus,5,10,10,15,5,0,2,0.2,3,Bus,Bus|Walk|Bus,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,35,7,42,51,42 - 51 minutes,35904,59,4,1,352
Taxi,Bus,Walk,25,15,15,15,10,2,0,0.05,3,Walk,Taxi|Bus|Walk,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,45,12,57,60,57 - 60 minutes,4307,59,4,2,352
Taxi,Bus,Walk,30,10,10,10,2,2,0,0.2,3,Walk,Taxi|Bus|Walk,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,30,4,34,41,34 - 41 minutes,33343,59,4,3,352
Walk,Bus,Uber/Lyft,15,15,20,15,0,10,2,0.05,3,Uber/Lyft,Walk|Bus|Uber/Lyft,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,50,12,62,66,62 - 66 minutes,8523,59,5,1,353
Walk,Bus,None,10,10,20,0,0,10,0,0.2,2,Bus,Walk|Bus,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,30,10,40,48,40 - 48 minutes,41281,59,5,2,353
Taxi,None,None,25,25,0,0,2,0,0,0.1,1,Taxi,Taxi,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,25,2,27,30,27 - 30 minutes,16951,59,5,3,353
Walk,Bus,Taxi,15,15,10,10,0,2,5,0.2,3,Taxi,Walk|Bus|Taxi,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,35,7,42,51,42 - 51 minutes,43740,59,6,1,354
Walk,Bus,None,2,15,10,0,0,5,0,0.2,2,Bus,Walk|Bus,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,25,5,30,36,30 - 36 minutes,37959,59,6,2,354
Taxi,Bus,Walk,25,20,20,10,10,10,0,0.2,3,Walk,Taxi|Bus|Walk,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,50,20,70,84,70 - 84 minutes,43326,59,6,3,354
Bus,Walk,None,2,10,10,0,10,0,0,0.2,2,Walk,Bus|Walk,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,20,10,30,36,30 - 36 minutes,36447,60,1,1,355
Uber/Lyft,Walk,None,20,20,15,0,5,0,0,0.05,2,Walk,Uber/Lyft|Walk,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,35,5,40,42,40 - 42 minutes,2303,60,1,2,355
Taxi,None,None,10,30,0,0,2,0,0,0.2,1,Taxi,Taxi,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,30,2,32,39,32 - 39 minutes,33610,60,1,3,355
Bus,Walk,Bus,5,10,15,15,10,0,2,0.2,3,Bus,Bus|Walk|Bus,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,40,12,52,63,52 - 63 minutes,37504,60,2,1,356
Bus,None,None,10,15,0,0,10,0,0,0.2,1,Bus,Bus,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,15,10,25,30,25 - 30 minutes,36537,60,2,2,356
Bus,Bus,Walk,2,15,15,15,5,10,0,0.1,3,Walk,Bus|Bus|Walk,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,45,15,60,66,60 - 66 minutes,26015,60,2,3,356
Bus,Taxi,None,30,30,15,0,5,2,0,0.1,2,Taxi,Bus|Taxi,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,45,7,52,58,52 - 58 minutes,19073,60,3,1,357
Walk,Bus,Walk,2,10,15,10,0,10,0,0.1,3,Walk,Walk|Bus|Walk,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,35,10,45,50,45 - 50 minutes,24413,60,3,2,357
Taxi,None,None,15,15,0,0,2,0,0,0.05,1,Taxi,Taxi,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,15,2,17,18,17 - 18 minutes,140,60,3,3,357
